price,area,bedrooms,bathrooms,balcony,status,neworold,parking,furnished_status,lift,type_of_building,price_sqft,city
12000000,1870,3,4,,,Resale,,Unfurnished,,Flat,6417.112299,Noida
8500000,1300,2,2,3.0,,Resale,1.0,Furnished,,Flat,6538.461538,Gurgaon
6500000,1356,3,2,3.0,Ready to Move,Resale,1.0,,2.0,Flat,4793.510324,Noida
9000000,1650,3,3,,Ready to Move,Resale,,Semi-Furnished,,Individual House,5454.545455,Ghaziabad
5400000,1414,3,3,4.0,Ready to Move,Resale,1.0,Semi-Furnished,3.0,Flat,3818.953324,Ghaziabad
4480000,990,3,3,,,Resale,,Unfurnished,,Flat,4525.252525,Noida
2950000,1050,2,2,,Ready to Move,Resale,1.0,,,Flat,2809.52381,Ghaziabad
7500000,1200,2,2,3.0,Ready to Move,Resale,,,,Flat,6250.0,Ghaziabad
4200000,830,3,2,1.0,Ready to Move,Resale,,Semi-Furnished,,Flat,5060.240964,New Delhi
3850000,990,2,2,3.0,Ready to Move,Resale,,,,Individual House,3888.888889,Noida
3000000,900,2,2,3.0,Ready to Move,Resale,1.0,,2.0,Flat,3333.333333,Greater Noida
30000000,2000,3,2,3.0,Ready to Move,Resale,5.0,Semi-Furnished,0.0,Flat,15000.0,New Delhi
20000000,3000,4,3,3.0,Ready to Move,New Property,2.0,Semi-Furnished,1.0,Individual House,6666.666667,Gurgaon
5800000,915,2,2,,Ready to Move,Resale,,Semi-Furnished,,Flat,6338.797814,Noida
4200000,1000,2,2,,Ready to Move,Resale,,Unfurnished,,Flat,4200.0,New Delhi
10000000,1650,3,3,2.0,Ready to Move,Resale,,,,Flat,6060.606061,Noida
5700000,670,6,2,1.0,Ready to Move,Resale,,Unfurnished,,Flat,8507.462687,New Delhi
9900000,1990,3,3,,Ready to Move,Resale,,,,Flat,4974.874372,Greater Noida
4300000,880,2,2,,Ready to Move,Resale,1.0,Furnished,,Flat,4886.363636,New Delhi
3700000,720,2,2,1.0,Ready to Move,Resale,1.0,Unfurnished,0.0,Individual House,5138.888889,Faridabad
3600000,1050,3,2,1.0,Ready to Move,Resale,,Unfurnished,,Individual House,3428.571429,Noida
5850000,1660,3,3,3.0,Ready to Move,Resale,,,,Flat,3524.096386,Noida
8500000,1545,3,3,,Ready to Move,Resale,,,,Flat,5501.618123,Greater Noida
6500000,1850,3,2,4.0,Ready to Move,Resale,,,,Individual House,3513.513514,Greater Noida
10000000,1500,4,3,1.0,Ready to Move,Resale,,,,Flat,6666.666667,Ghaziabad
17500000,2445,4,3,4.0,Ready to Move,Resale,2.0,Semi-Furnished,2.0,Flat,7157.464213,Gurgaon
7000000,1008,3,2,1.0,Ready to Move,Resale,2.0,Semi-Furnished,1.0,Flat,6944.444444,New Delhi
3800000,810,3,2,1.0,Ready to Move,Resale,,Furnished,,Flat,4691.358025,New Delhi
8500000,1422,2,2,4.0,Ready to Move,Resale,,,,Flat,5977.496484,Gurgaon
6530000,1100,2,2,,Ready to Move,Resale,,,,Flat,5936.363636,Noida
11000000,1200,3,3,3.0,Ready to Move,New Property,,,,Flat,9166.666667,Gurgaon
7500000,1800,4,4,2.0,Ready to Move,Resale,,Unfurnished,,Flat,4166.666667,Gurgaon
4600000,1175,2,2,3.0,Ready to Move,Resale,,Furnished,,Flat,3914.893617,Noida
3000000,750,2,2,1.0,Ready to Move,Resale,1.0,Furnished,,Individual House,4000.0,New Delhi
9500000,2184,4,4,4.0,Ready to Move,Resale,1.0,,2.0,Individual House,4349.81685,Faridabad
4300000,1045,2,2,,Ready to Move,Resale,,,,Individual House,4114.832536,Noida
7600000,1855,4,2,,Ready to Move,Resale,1.0,,,Flat,4097.03504,Greater Noida
5700000,1364,2,2,2.0,Ready to Move,Resale,,,,Flat,4178.88563,Gurgaon
7100000,1855,4,3,5.0,Ready to Move,Resale,2.0,Unfurnished,,Flat,3827.493261,Greater Noida
3490000,955,2,2,3.0,Ready to Move,Resale,,,,Flat,3654.450262,Noida
3700000,985,2,2,2.0,Ready to Move,Resale,,,,Individual House,3756.345178,Greater Noida
6000000,900,2,2,3.0,Ready to Move,Resale,,Unfurnished,,Flat,6666.666667,Noida
3500000,800,2,2,,Ready to Move,Resale,1.0,,,Flat,4375.0,Ghaziabad
4500000,1000,2,2,1.0,Ready to Move,Resale,1.0,Semi-Furnished,,Flat,4500.0,Ghaziabad
18000000,1800,3,3,2.0,Ready to Move,Resale,,Unfurnished,,Flat,10000.0,New Delhi
4300000,1155,2,2,,Ready to Move,Resale,,Semi-Furnished,,Flat,3722.943723,Greater Noida
5600000,1000,3,2,1.0,Ready to Move,New Property,1.0,Semi-Furnished,1.0,Flat,5600.0,Gurgaon
3300000,925,2,2,3.0,Ready to Move,Resale,,Semi-Furnished,,Flat,3567.567568,Ghaziabad
4000000,700,2,2,1.0,Ready to Move,Resale,2.0,Semi-Furnished,,Flat,5714.285714,New Delhi
6000000,1255,3,2,3.0,Ready to Move,Resale,1.0,,2.0,Flat,4780.876494,Noida
4000000,855,3,2,,Ready to Move,Resale,,Unfurnished,,Flat,4678.362573,New Delhi
3500000,985,2,2,1.0,Ready to Move,Resale,,,,Flat,3553.299492,Noida
3000000,1075,2,2,2.0,Ready to Move,New Property,,,,Flat,2790.697674,Ghaziabad
11500000,1456,3,2,,Ready to Move,Resale,,,,Flat,7898.351648,Gurgaon
8000000,1000,3,2,,Ready to Move,Resale,,Unfurnished,,Flat,8000.0,New Delhi
7000000,1410,2,2,2.0,Ready to Move,Resale,,,,Flat,4964.539007,Gurgaon
3900000,1150,2,2,3.0,Ready to Move,Resale,,,,Flat,3391.304348,Greater Noida
11000000,1629,3,3,,Ready to Move,Resale,,,,Flat,6752.608963,Gurgaon
3400000,850,2,2,,Ready to Move,Resale,,Unfurnished,,Flat,4000.0,Ghaziabad
6000000,990,3,2,1.0,Ready to Move,Resale,1.0,Unfurnished,1.0,Flat,6060.606061,New Delhi
17500000,1550,3,3,2.0,Ready to Move,New Property,,,,Flat,11290.32258,New Delhi
25000000,2734,4,4,4.0,Ready to Move,Resale,1.0,,2.0,Flat,9144.111192,Gurgaon
12000000,1730,3,3,2.0,Ready to Move,Resale,,,,Flat,6936.416185,Noida
17000000,1990,3,3,3.0,Ready to Move,Resale,2.0,,3.0,Flat,8542.713568,Gurgaon
2300000,600,2,2,1.0,Ready to Move,Resale,,Unfurnished,,Flat,3833.333333,Ghaziabad
3100000,918,2,2,2.0,,Resale,1.0,Unfurnished,,Flat,3376.906318,Faridabad
4000000,1190,3,2,2.0,Ready to Move,Resale,,Semi-Furnished,,Flat,3361.344538,Ghaziabad
3800000,850,2,2,1.0,Ready to Move,Resale,,Unfurnished,,Flat,4470.588235,Ghaziabad
5500000,1100,3,3,1.0,Ready to Move,Resale,,Unfurnished,,Flat,5000.0,New Delhi
3100000,1000,2,2,3.0,Ready to Move,Resale,,,,Individual House,3100.0,Ghaziabad
6200000,1107,2,2,,Ready to Move,Resale,,Unfurnished,,Individual House,5600.722674,Ghaziabad
4300000,1315,3,3,3.0,Ready to Move,Resale,,,,Flat,3269.961977,Ghaziabad
21500000,2714,3,4,3.0,Ready to Move,Resale,,,,Flat,7921.886514,Gurgaon
3800000,760,2,2,,Ready to Move,Resale,1.0,Semi-Furnished,,Flat,5000.0,New Delhi
14000000,1100,3,2,1.0,Ready to Move,Resale,,Unfurnished,,Individual House,12727.27273,New Delhi
2800000,750,2,2,1.0,Ready to Move,Resale,,Unfurnished,,Individual House,3733.333333,Ghaziabad
5600000,1100,3,2,2.0,Ready to Move,Resale,,Unfurnished,,Flat,5090.909091,Gurgaon
6200000,1600,3,2,2.0,Ready to Move,Resale,1.0,,,Flat,3875.0,Ghaziabad
24800000,2000,3,3,2.0,Ready to Move,Resale,2.0,,1.0,Flat,12400.0,New Delhi
5000000,1120,2,2,,Ready to Move,Resale,,,,Individual House,4464.285714,Ghaziabad
4000000,623,2,2,1.0,Ready to Move,New Property,,Semi-Furnished,,Flat,6420.545746,New Delhi
7100000,1450,3,3,3.0,Ready to Move,Resale,,,,Flat,4896.551724,Ghaziabad
24000000,3050,4,4,3.0,Ready to Move,New Property,7.0,Semi-Furnished,1.0,Flat,7868.852459,Gurgaon
5300000,1395,3,3,3.0,Ready to Move,Resale,,,,Flat,3799.283154,Greater Noida
4700000,1200,3,3,1.0,Ready to Move,Resale,1.0,Furnished,0.0,Flat,3916.666667,Ghaziabad
9700000,1758,3,4,3.0,Ready to Move,Resale,,,,Flat,5517.633675,Noida
4900000,1000,2,2,,Ready to Move,Resale,,,,Flat,4900.0,Ghaziabad
11500000,2000,3,3,,Ready to Move,Resale,,Unfurnished,,Flat,5750.0,Gurgaon
16200000,1920,3,3,3.0,Ready to Move,New Property,7.0,,2.0,Individual House,8437.5,Gurgaon
5100000,1001,3,2,1.0,Ready to Move,Resale,,Semi-Furnished,,Flat,5094.905095,New Delhi
17500000,2200,4,4,2.0,Ready to Move,New Property,2.0,Furnished,1.0,Flat,7954.545455,Gurgaon
16000000,2200,4,4,2.0,Ready to Move,New Property,2.0,,1.0,Flat,7272.727273,Gurgaon
9500000,1180,2,2,1.0,Ready to Move,Resale,2.0,,,Flat,8050.847458,Gurgaon
20800000,2410,4,4,3.0,Ready to Move,New Property,2.0,,,Individual House,8630.705394,Gurgaon
6500000,1850,3,2,4.0,Ready to Move,Resale,,,,Flat,3513.513514,Greater Noida
3500000,800,2,2,,Ready to Move,Resale,,Unfurnished,,Flat,4375.0,New Delhi
3700000,850,2,2,,Ready to Move,Resale,,Semi-Furnished,,Flat,4352.941176,New Delhi
6300000,1700,3,2,3.0,Ready to Move,Resale,,,,Flat,3705.882353,Greater Noida
8600000,1650,3,2,2.0,Ready to Move,Resale,,Unfurnished,,Flat,5212.121212,Gurgaon
7500000,1125,3,2,,Ready to Move,Resale,,Semi-Furnished,,Flat,6666.666667,New Delhi
2480000,600,2,2,1.0,Ready to Move,Resale,1.0,Semi-Furnished,0.0,Flat,4133.333333,New Delhi
6500000,900,3,2,,Ready to Move,Resale,,Semi-Furnished,,Flat,7222.222222,New Delhi
7500000,900,3,2,2.0,Ready to Move,New Property,,Semi-Furnished,,Individual House,8333.333333,New Delhi
3400000,657,2,2,1.0,Ready to Move,Resale,,,,Individual House,5175.038052,Gurgaon
6200000,1265,2,2,4.0,Ready to Move,Resale,,,,Individual House,4901.185771,Ghaziabad
3200000,663,2,2,1.0,Ready to Move,Resale,4.0,,7.0,Flat,4826.546003,Gurgaon
13000000,1952,3,3,2.0,Ready to Move,Resale,,,,Flat,6659.836066,Gurgaon
11000000,1943,3,3,,Ready to Move,Resale,1.0,,2.0,Flat,5661.34843,Gurgaon
8800000,1750,3,3,,,New Property,,Unfurnished,,Flat,5028.571429,Gurgaon
7500000,1900,3,3,,Ready to Move,Resale,,Semi-Furnished,,Individual House,3947.368421,Faridabad
