price,area,bedrooms,bathrooms,balcony,status,neworold,parking,furnished_status,lift,type_of_building,price_sqft,city
5600000,1350,3,3,,Under Construction,New Property,,,2,Flat,4148.148148,Noida
8800000,1490,3,3,,Ready to Move,New Property,,Semi-Furnished,2,Flat,5906.040268,Gurgaon
16500000,2385,4,5,,Ready to Move,New Property,1,Unfurnished,,Flat,6918.238994,Ghaziabad
3810000,1050,2,2,3,,New Property,1,Unfurnished,2,Flat,3628.571429,Greater Noida
6200000,1350,2,2,3,Ready to Move,Resale,1,,3,Flat,4592.592593,Noida
3700000,1150,2,2,3,Ready to Move,New Property,,,,Flat,3217.391304,Ghaziabad
3270000,890,2,2,3,Ready to Move,Resale,1,,2,Flat,3674.157303,Noida
3990000,850,2,2,1,Ready to Move,Resale,1,,,Flat,4694.117647,Gurgaon
3500000,960,2,2,2,Ready to Move,Resale,,,,Flat,3645.833333,Greater Noida
5500000,1400,3,3,4,Ready to Move,Resale,1,,2,Flat,3928.571429,Noida
7300000,850,3,2,1,Ready to Move,New Property,2,Semi-Furnished,1,Flat,8588.235294,New Delhi
7700000,1250,2,2,2,Ready to Move,Resale,,,,Flat,6160,Gurgaon
10500000,1615,3,3,3,Ready to Move,Resale,,Unfurnished,,Flat,6501.547988,Gurgaon
7200000,1200,2,2,3,Ready to Move,Resale,,,,Flat,6000,Noida
7000000,1690,3,3,,Ready to Move,Resale,,,,Flat,4142.011834,Ghaziabad
9500000,1000,3,2,1,Ready to Move,New Property,2,Semi-Furnished,1,Individual House,9500,New Delhi
15000000,1450,4,3,1,Ready to Move,New Property,2,Semi-Furnished,1,Individual House,10344.82759,New Delhi
4800000,1175,2,2,,Ready to Move,Resale,,,,Flat,4085.106383,Noida
5100000,1087,2,2,2,Ready to Move,Resale,1,Semi-Furnished,2,Flat,4691.812328,Ghaziabad
14000000,1845,3,3,3,,Resale,2,Semi-Furnished,2,Flat,7588.075881,Noida
6250000,1400,2,2,2,Ready to Move,New Property,,,,Flat,4464.285714,Gurgaon
8700000,1600,3,2,1,Ready to Move,Resale,,Unfurnished,,Flat,5437.5,Gurgaon
13000000,1950,3,3,2,Ready to Move,Resale,,,,Individual House,6666.666667,Noida
15000000,1800,2,3,1,Ready to Move,New Property,,,,Flat,8333.333333,Noida
5500000,1440,3,2,5,Ready to Move,Resale,1,,2,Flat,3819.444444,Noida
4200000,1040,2,2,3,Ready to Move,Resale,2,,3,Flat,4038.461538,Noida
3900000,1025,2,2,3,Ready to Move,Resale,1,,2,Flat,3804.878049,Greater Noida
10000000,1836,3,2,,Ready to Move,Resale,,Semi-Furnished,,Individual House,5446.623094,Ghaziabad
7600000,1350,3,2,4,Ready to Move,Resale,1,,3,Flat,5629.62963,Ghaziabad
3900000,800,2,2,1,Ready to Move,Resale,,,2,Flat,4875,Gurgaon
9000000,1481,2,2,2,Ready to Move,Resale,2,Unfurnished,2,Flat,6076.975017,Gurgaon
8350000,1398,2,2,2,Ready to Move,Resale,1,,3,Flat,5972.818312,Noida
13500000,2150,3,3,4,Ready to Move,Resale,1,,,Individual House,6279.069767,Gurgaon
5310000,1100,3,2,,Ready to Move,Resale,,Furnished,,Flat,4827.272727,Ghaziabad
15000000,1960,3,3,,,Resale,,Semi-Furnished,,Flat,7653.061224,Gurgaon
17500000,2450,3,3,3,Ready to Move,New Property,2,,2,Flat,7142.857143,Gurgaon
5000000,1000,2,2,3,Ready to Move,Resale,1,,2,Flat,5000,Noida
3500000,850,2,2,1,Ready to Move,Resale,,Furnished,,Flat,4117.647059,New Delhi
4550000,950,3,2,1,Ready to Move,New Property,1,Semi-Furnished,1,Flat,4789.473684,New Delhi
4000000,700,2,2,,Ready to Move,Resale,,Unfurnished,,Flat,5714.285714,New Delhi
3500000,750,2,2,2,Ready to Move,Resale,,Semi-Furnished,0,Flat,4666.666667,Ghaziabad
3500000,950,2,2,1,Ready to Move,Resale,1,,1,Individual House,3684.210526,Noida
2400000,540,2,2,1,Ready to Move,New Property,,Semi-Furnished,0,Flat,4444.444444,New Delhi
80000000,5571,5,5,3,Ready to Move,Resale,4,,2,Individual House,14360.07898,Gurgaon
9500000,1200,2,2,2,Ready to Move,Resale,,Semi-Furnished,,Flat,7916.666667,New Delhi
10500000,1020,2,2,2,Ready to Move,Resale,,,,Flat,10294.11765,Gurgaon
7500000,1505,2,2,2,Ready to Move,Resale,1,,2,Flat,4983.388704,Gurgaon
4800000,1232,6,3,2,Ready to Move,Resale,,Unfurnished,,Flat,3896.103896,Ghaziabad
5600000,929,2,2,1,Ready to Move,Resale,,,,Flat,6027.987083,Gurgaon
8500000,1350,3,3,,Ready to Move,Resale,,,,Flat,6296.296296,Ghaziabad
4700000,1085,2,2,2,Ready to Move,Resale,,,,Flat,4331.797235,Ghaziabad
8500000,1790,3,3,,Ready to Move,Resale,,,,Flat,4748.603352,Gurgaon
10000000,1689,3,3,4,Ready to Move,New Property,1,Semi-Furnished,3,Flat,5920.663114,Gurgaon
18000000,2411,3,3,3,Ready to Move,Resale,2,,2,Flat,7465.781833,Gurgaon
12400000,1650,3,2,2,Ready to Move,Resale,2,,0,Flat,7515.151515,New Delhi
7700000,1685,3,4,4,Ready to Move,Resale,1,Unfurnished,2,Flat,4569.732938,Noida
6000000,1050,2,2,2,Ready to Move,Resale,,,,Flat,5714.285714,Ghaziabad
12500000,1300,2,2,2,Ready to Move,Resale,2,,2,Flat,9615.384615,New Delhi
6380000,1170,3,2,1,Ready to Move,New Property,1,Semi-Furnished,1,Flat,5452.991453,New Delhi
7400000,1275,2,2,2,Ready to Move,New Property,1,Semi-Furnished,2,Flat,5803.921569,Gurgaon
8400000,1890,3,3,4,Ready to Move,Resale,1,,2,Flat,4444.444444,Gurgaon
6400000,1455,3,2,3,Ready to Move,Resale,1,,2,Individual House,4398.62543,Noida
19000000,1768,3,2,,Ready to Move,Resale,2,,2,Flat,10746.60633,New Delhi
4300000,1295,2,2,4,Ready to Move,Resale,2,,,Individual House,3320.46332,Greater Noida
23800000,3500,4,5,3,Ready to Move,Resale,1,,2,Flat,6800,Faridabad
10500000,1850,3,4,2,Ready to Move,Resale,2,,3,Flat,5675.675676,Noida
10800000,1966,2,2,1,Ready to Move,Resale,1,,,Flat,5493.387589,Gurgaon
5500000,1350,2,2,,,Resale,,Furnished,,Flat,4074.074074,Ghaziabad
4320000,1040,2,2,3,Ready to Move,New Property,1,,2,Flat,4153.846154,Noida
3000000,800,2,2,1,Ready to Move,Resale,1,Semi-Furnished,0,Flat,3750,Ghaziabad
3500000,950,2,2,3,Ready to Move,Resale,,,3,Flat,3684.210526,Greater Noida
16000000,2000,4,4,3,Ready to Move,Resale,2,Semi-Furnished,,Flat,8000,Gurgaon
3000000,900,2,2,3,Ready to Move,Resale,1,,2,Individual House,3333.333333,Ghaziabad
3300000,960,2,2,1,Ready to Move,Resale,,,1,Flat,3437.5,Greater Noida
8200000,1371,2,2,3,Ready to Move,New Property,2,,2,Flat,5981.03574,Gurgaon
6000000,1750,3,3,1,Ready to Move,Resale,2,,2,Flat,3428.571429,Greater Noida
4100000,1299,3,2,4,Ready to Move,Resale,1,,2,Flat,3156.274057,Ghaziabad
5200000,1365,3,2,3,Ready to Move,Resale,2,Furnished,2,Flat,3809.52381,Noida
21000000,2800,4,5,4,,Resale,,Unfurnished,,Flat,7500,Greater Noida
2650000,835,2,2,2,,Resale,1,Unfurnished,,Flat,3173.652695,Greater Noida
10000000,1000,2,2,,Ready to Move,Resale,,Unfurnished,,Individual House,10000,New Delhi
4500000,1000,3,2,1,Ready to Move,Resale,1,Semi-Furnished,,Flat,4500,New Delhi
6900000,1260,2,2,3,Ready to Move,Resale,1,Unfurnished,2,Flat,5476.190476,Noida
13500000,2425,4,4,,,Resale,,Semi-Furnished,,Flat,5567.010309,Gurgaon
4500000,1198,3,2,1,Ready to Move,Resale,,Furnished,,Flat,3756.260434,Ghaziabad
32500000,3000,3,3,2,Ready to Move,Resale,2,,1,Flat,10833.33333,New Delhi
11000000,1743,3,3,2,Ready to Move,New Property,1,,,Individual House,6310.958118,Gurgaon
3200000,650,2,2,1,Ready to Move,Resale,,Unfurnished,,Flat,4923.076923,New Delhi
3200000,815,2,2,,Ready to Move,Resale,,,,Flat,3926.380368,Greater Noida
3400000,1050,2,2,,,Resale,,Unfurnished,,Flat,3238.095238,Ghaziabad
11100000,2100,4,3,2,Ready to Move,Resale,,Furnished,,Flat,5285.714286,Faridabad
3500000,900,2,2,1,Ready to Move,Resale,,Unfurnished,,Flat,3888.888889,Ghaziabad
